City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Invercargill,-46.4178708,168.3614659,Southland Region,New Zealand,Invercargill Southland Region New Zealand ,72.2222222222,30
Coyhaique,-45.5712254,-72.068265,Aysen Region,Chile,Coyhaique Aysen Region Chile ,0,25
Hobart,-42.8826055,147.3257196,Tasmania,Australia,Hobart Tasmania Australia ,92.8571428571,21.0526315789
Puerto Montt,-41.468917,-72.9411364,Los Lagos Region,Chile,Puerto Montt Los Lagos Region Chile ,25,50
Wellington,-41.2923814,174.7787463,Wellington Region,New Zealand,Wellington Wellington Region New Zealand ,95.6896551724,27.4038461538
Kingston,-37.9818897,145.1044805,Surrey County,Jamaica,Kingston Surrey County Jamaica ,33.125,58.5714285714
Melbourne,-37.8136276,144.9630576,Victoria,Australia,Melbourne Victoria Australia ,79.0730337079,28.223495702
Ballarat,-37.5621587,143.8502556,Victoria,Australia,Ballarat Victoria Australia ,89.0625,23.3333333333
Coronel,-37.0340769,-73.1404838,Biobio Region,Chile,Coronel Biobio Region Chile ,50,50
Victoria,-36.9847807,143.3906074,British Columbia,Canada,Victoria British Columbia Canada ,92.7215189873,27.7027027027
Victoria,-36.9847807,143.3906074,,Seychelles,Victoria  Seychelles ,62.5,25
Chiguayante,-36.9532201,-73.0173901,Biobio Region,Chile,Chiguayante Biobio Region Chile ,50,50
Auckland,-36.8508827,174.7644881,Auckland Region,New Zealand,Auckland Auckland Region New Zealand ,78.5234899329,41.6666666667
Concepcion,-36.8201352,-73.0443904,Biobio Region,Chile,Concepcion Biobio Region Chile ,55.7692307692,33.3333333333
Talcahuano,-36.7247834,-73.1169808,Biobio Region,Chile,Talcahuano Biobio Region Chile ,33.3333333333,0
Chillan,-36.6062618,-72.1023351,Nuble Region,Chile,Chillan Nuble Region Chile ,37.5,50
Talca,-35.4232444,-71.6484804,Maule Region,Chile,Talca Maule Region Chile ,40,0
Canberra,-35.2801903,149.1310038,Australian Capital Territory,Australia,Canberra Australian Capital Territory Australia ,90.7467532468,17.8082191781
Curico,-34.9779853,-71.2528803,Maule Region,Chile,Curico Maule Region Chile ,25,50
Adelaide,-34.9284989,138.6007456,South Australia,Australia,Adelaide South Australia Australia ,88.8480392157,24.6052631579
Maldonado,-34.9018717,-54.9634343,Maldonado Department,Uruguay,Maldonado Maldonado Department Uruguay ,100,0
Montevideo,-34.9011127,-56.1645314,Montevideo Department,Uruguay,Montevideo Montevideo Department Uruguay ,65.7894736842,46.7532467532
Buenos Aires,-34.6036844,-58.3815591,,Argentina,Buenos Aires  Argentina ,54.2647058824,54.84375
Rancagua,-34.1701324,-70.7406259,O'Higgins Region,Chile,Rancagua O'Higgins Region Chile ,0,100
Stellenbosch,-33.9321045,18.860152,Western Cape,South Africa,Stellenbosch Western Cape South Africa ,75,58.3333333333
Cape Town,-33.9248685,18.4240553,Western Cape,South Africa,Cape Town Western Cape South Africa ,68.6111111111,50.4261363636
Sydney,-33.8688197,151.2092955,,Australia,Sydney  Australia ,75.8899676375,28.5478547855
Santiago,-33.4488897,-70.6692655,Santiago Metropolitan Region,Chile,Santiago Santiago Metropolitan Region Chile ,17.7152317881,40.2397260274
Concon,-32.9299468,-71.5186065,Valparaiso Region,Chile,Concon Valparaiso Region Chile ,37.5,50
