City,Longitude,Latitude,Region,Country,AirQuality,WaterPollution
Invercargill,-46.4178708,168.3614659,Southland Region,New Zealand,72.2222222222,30
Coyhaique,-45.5712254,-72.068265,Aysen Region,Chile,0,25
Hobart,-42.8826055,147.3257196,Tasmania,Australia,92.8571428571,21.0526315789
Puerto Montt,-41.468917,-72.9411364,Los Lagos Region,Chile,25,50
Wellington,-41.2923814,174.7787463,Wellington Region,New Zealand,95.6896551724,27.4038461538
Kingston,-37.9818897,145.1044805,Surrey County,Jamaica,33.125,58.5714285714
Melbourne,-37.8136276,144.9630576,Victoria,Australia,79.0730337079,28.223495702
Ballarat,-37.5621587,143.8502556,Victoria,Australia,89.0625,23.3333333333
Coronel,-37.0340769,-73.1404838,Biobio Region,Chile,50,50
Victoria,-36.9847807,143.3906074,British Columbia,Canada,92.7215189873,27.7027027027
Victoria,-36.9847807,143.3906074,,Seychelles,62.5,25
Chiguayante,-36.9532201,-73.0173901,Biobio Region,Chile,50,50
Auckland,-36.8508827,174.7644881,Auckland Region,New Zealand,78.5234899329,41.6666666667
Concepcion,-36.8201352,-73.0443904,Biobio Region,Chile,55.7692307692,33.3333333333
Talcahuano,-36.7247834,-73.1169808,Biobio Region,Chile,33.3333333333,0
Chillan,-36.6062618,-72.1023351,Nuble Region,Chile,37.5,50
Talca,-35.4232444,-71.6484804,Maule Region,Chile,40,0
Canberra,-35.2801903,149.1310038,Australian Capital Territory,Australia,90.7467532468,17.8082191781
Curico,-34.9779853,-71.2528803,Maule Region,Chile,25,50
Adelaide,-34.9284989,138.6007456,South Australia,Australia,88.8480392157,24.6052631579
Maldonado,-34.9018717,-54.9634343,Maldonado Department,Uruguay,100,0
Montevideo,-34.9011127,-56.1645314,Montevideo Department,Uruguay,65.7894736842,46.7532467532
Buenos Aires,-34.6036844,-58.3815591,,Argentina,54.2647058824,54.84375
Rancagua,-34.1701324,-70.7406259,O'Higgins Region,Chile,0,100
Stellenbosch,-33.9321045,18.860152,Western Cape,South Africa,75,58.3333333333
Cape Town,-33.9248685,18.4240553,Western Cape,South Africa,68.6111111111,50.4261363636
Sydney,-33.8688197,151.2092955,,Australia,75.8899676375,28.5478547855
Santiago,-33.4488897,-70.6692655,Santiago Metropolitan Region,Chile,17.7152317881,40.2397260274
Concon,-32.9299468,-71.5186065,Valparaiso Region,Chile,37.5,50
Perth,-31.9523123,115.861309,Western Australia,Australia,82.9875518672,28.0720338983
Porto Alegre,-30.0368176,-51.2089887,Rio Grande do Sul,Brazil,54.6610169492,59.2592592593
La Serena,-29.9026691,-71.2519374,Coquimbo Region,Chile,50,62.5
Durban,-29.8586804,31.0218404,KwaZulu-Natal,South Africa,57.7205882353,60.2272727273
Maseru,-29.3150767,27.4869229,Maseru District,Lesotho,45.8333333333,80
Bloemfontein,-29.085214,26.1595761,Free State,South Africa,45.8333333333,62.5
Huasco,-28.4664,-71.2192,Atacama Region,Chile,87.5,50
Marburg,-27.5662078,152.596433,Hesse,Germany,85,0
Brisbane,-27.4704528,153.0260341,Queensland,Australia,83.0687830688,30.4644808743
Copiapo,-27.3665763,-70.3321587,Atacama Region,Chile,12.5,50
Mbabane,-26.3054482,31.1366715,Hhohho District,Eswatini,93.75,31.25
Johannesburg,-26.2041028,28.0473051,Gauteng,South Africa,42.7595628415,57.3611111111
Maputo,-25.969248,32.5731746,,Mozambique,57.6923076923,68.75
Pretoria,-25.7478676,28.2292712,Gauteng,South Africa,50.3289473684,57.7464788732
Curitiba,-25.4372382,-49.2699727,Parana,Brazil,73.1012658228,48.9130434783
Asuncion,-25.2637399,-57.575926,Capital District,Paraguay,39.6551724138,67
Salta,-24.7821269,-65.4231976,Salta Province,Argentina,60,50
Gaborone,-24.6282079,25.9231471,South-East District,Botswana,67.1052631579,37.5
Alice Springs,-23.698042,133.8807471,Northern Territory,Australia,65.625,28.125
Antofagasta,-23.6509279,-70.3975022,Antofagasta Region,Chile,31.25,81.25
Sao Paulo,-23.5557714,-46.6395571,Sao Paulo,Brazil,24.0566037736,73.7179487179
Osasco,-23.5326334,-46.7915243,Sao Paulo,Brazil,35,66.6666666667
Rio de Janeiro,-22.9068467,-43.1728965,Rio de Janeiro,Brazil,46.8120805369,77.2413793103
Windhoek,-22.5608807,17.0657549,Khomas Region,Namibia,72.8260869565,54.347826087
Calama,-22.4543923,-68.9293819,Antofagasta Region,Chile,20,75
Iquique,-20.2307033,-70.1356692,Tarapaca Region,Chile,40,50
Port Louis,-20.1608912,57.5012222,Port Louis District,Mauritius,50,55.9523809524
Antananarivo,-18.8791902,47.5079055,,Madagascar,15.9090909091,82.3529411765
Arica,-18.4782534,-70.3125988,Arica y Parinacota Region,Chile,75,50
Suva,-18.1405049,178.4232507,Central Division,Fiji,57.5,58.75
Nausori,-18.0305343,178.5338895,Central Division,Fiji,0,100
Harare,-17.8216288,31.0492259,,Zimbabwe,38.4615384615,87.5
Port Vila,-17.7332512,168.3273245,Shefa,Vanuatu,75,70
El Alto,-16.4899474,-68.2081896,La Paz Department,Bolivia,50,100
La Paz,-16.489689,-68.1192936,La Paz Department,Bolivia,27.9411764706,79.5454545455
Brasilia,-15.7975154,-47.8918874,Federal District,Brazil,76.5306122449,38.0434782609
Lusaka,-15.3875259,28.3228165,Lusaka Province,Zambia,33.3333333333,98.0769230769
Lilongwe,-13.9626121,33.7741195,Central Region,Malawi,45,95
Apia,-13.8506958,-171.7513551,,Samoa,70.8333333333,40
Darwin,-12.4637333,130.8444446,Northern Territory,Australia,84.6590909091,26.9230769231
Lima,-12.0463731,-77.042754,Lima region,Peru,19.75,76.0416666667
Honiara,-9.4456381,159.9728999,,Solomon Islands,39.0625,84.7222222222
Port Moresby,-9.4438004,147.1802671,,Papua New Guinea,32.2916666667,76.9230769231
Luanda,-8.8146556,13.2301756,Luanda Province,Angola,15,81.25
Denpasar,-8.6704582,115.2126293,Bali,Indonesia,33.6956521739,60.2272727273
Olinda,-7.9920228,-34.8422297,Pernambuco,Brazil,50,75
Malang,-7.9666204,112.6326321,East Java,Indonesia,77.1739130435,34.7826086957
Kediri,-7.8480156,112.0178286,East Java,Indonesia,75,0
Yogyakarta City,-7.7955798,110.3694896,Special Region of Yogyakarta,Indonesia,45.652173913,57.2916666667
Madiun,-7.6310587,111.5300159,East Java,Indonesia,100,6.25
Magelang,-7.4797342,110.2176941,Central Java,Indonesia,100,0
Mojokerto,-7.4704747,112.4401329,East Java,Indonesia,100,0
Salatiga,-7.3305234,110.5084366,Central Java,Indonesia,83.3333333333,37.5
Surabaya,-7.2574719,112.7520883,East Java,Indonesia,49.4318181818,57.7777777778
Semarang,-7.0051453,110.4381254,Central Java,Indonesia,55.5555555556,47.5
