City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution,,New Water,WA,Rating
Invercargill,-46.4178708,168.3614659,Southland Region,New Zealand,Invercargill Southland Region New Zealand ,72.22222222,30,,70,142.2222222,71.11111111
Coyhaique,-45.5712254,-72.068265,Aysen Region,Chile,Coyhaique Aysen Region Chile ,0,25,,75,75,37.5
Hobart,-42.8826055,147.3257196,Tasmania,Australia,Hobart Tasmania Australia ,92.85714286,21.05263158,,78.94736842,171.8045113,85.90225564
Puerto Montt,-41.468917,-72.9411364,Los Lagos Region,Chile,Puerto Montt Los Lagos Region Chile ,25,50,,50,75,37.5
Wellington,-41.2923814,174.7787463,Wellington Region,New Zealand,Wellington Wellington Region New Zealand ,95.68965517,27.40384615,,72.59615385,168.285809,84.14290451
Kingston,-37.9818897,145.1044805,Surrey County,Jamaica,Kingston Surrey County Jamaica ,33.125,58.57142857,,41.42857143,74.55357143,37.27678571
Melbourne,-37.8136276,144.9630576,Victoria,Australia,Melbourne Victoria Australia ,79.07303371,28.2234957,,71.7765043,150.849538,75.424769
Ballarat,-37.5621587,143.8502556,Victoria,Australia,Ballarat Victoria Australia ,89.0625,23.33333333,,76.66666667,165.7291667,82.86458333
Coronel,-37.0340769,-73.1404838,Biobio Region,Chile,Coronel Biobio Region Chile ,50,50,,50,100,50
Victoria,-36.9847807,143.3906074,British Columbia,Canada,Victoria British Columbia Canada ,92.72151899,27.7027027,,72.2972973,165.0188163,82.50940814
Victoria,-36.9847807,143.3906074,,Seychelles,Victoria  Seychelles ,62.5,25,,75,137.5,68.75
Chiguayante,-36.9532201,-73.0173901,Biobio Region,Chile,Chiguayante Biobio Region Chile ,50,50,,50,100,50
Auckland,-36.8508827,174.7644881,Auckland Region,New Zealand,Auckland Auckland Region New Zealand ,78.52348993,41.66666667,,58.33333333,136.8568233,68.42841163
Concepcion,-36.8201352,-73.0443904,Biobio Region,Chile,Concepcion Biobio Region Chile ,55.76923077,33.33333333,,66.66666667,122.4358974,61.21794872
Talcahuano,-36.7247834,-73.1169808,Biobio Region,Chile,Talcahuano Biobio Region Chile ,33.33333333,0,,100,133.3333333,66.66666667
