City,Latitude,Longitude,Region,Country,Nwind_speed,AirQuality,WaterPollution,RealWater,wind_speed,wind_direction
Invercargill,-46.4178708,168.3614659,Southland Region,New Zealand,39.2,72.22222222,30,70,3.92,47
Coyhaique,-45.5712254,-72.068265,Aysen Region,Chile,25.7,0,25,75,2.57,0
Hobart,-42.8826055,147.3257196,Tasmania,Australia,56.6,92.85714286,21.05263158,78.94736842,5.66,340
Puerto Montt,-41.468917,-72.9411364,Los Lagos Region,Chile,61.7,25,50,50,6.17,20
Wellington,-41.2923814,174.7787463,Wellington Region,New Zealand,61.7,95.68965517,27.40384615,72.59615385,6.17,20
Kingston,-37.9818897,145.1044805,Surrey County,Jamaica,17.9,33.125,58.57142857,41.42857143,1.79,324
Melbourne,-37.8136276,144.9630576,Victoria,Australia,51.4,79.07303371,28.2234957,71.7765043,5.14,360
Ballarat,-37.5621587,143.8502556,Victoria,Australia,36,89.0625,23.33333333,76.66666667,3.6,303
Coronel,-37.0340769,-73.1404838,Biobio Region,Chile,30,50,50,50,3,348
Victoria,-36.9847807,143.3906074,British Columbia,Canada,37.2,92.72151899,27.7027027,72.2972973,3.72,287
Victoria,-36.9847807,143.3906074,,Seychelles,37.2,62.5,25,75,3.72,287
Chiguayante,-36.9532201,-73.0173901,Biobio Region,Chile,26.1,50,50,50,2.61,325
Auckland,-36.8508827,174.7644881,Auckland Region,New Zealand,17.9,78.52348993,41.66666667,58.33333333,1.79,35
Concepcion,-36.8201352,-73.0443904,Biobio Region,Chile,41.2,55.76923077,33.33333333,66.66666667,4.12,10
Talcahuano,-36.7247834,-73.1169808,Biobio Region,Chile,41.2,33.33333333,0,100,4.12,10
Chillan,-36.6062618,-72.1023351,Nuble Region,Chile,36,37.5,50,50,3.6,360
Talca,-35.4232444,-71.6484804,Maule Region,Chile,5.6,40,0,100,0.56,253
Canberra,-35.2801903,149.1310038,Australian Capital Territory,Australia,72,90.74675325,17.80821918,82.19178082,7.2,340
Curico,-34.9779853,-71.2528803,Maule Region,Chile,20.6,25,50,50,2.06,260
Adelaide,-34.9284989,138.6007456,South Australia,Australia,72,88.84803922,24.60526316,75.39473684,7.2,270
Maldonado,-34.9018717,-54.9634343,Maldonado Department,Uruguay,20.6,100,0,100,2.06,230
Montevideo,-34.9011127,-56.1645314,Montevideo Department,Uruguay,15.4,65.78947368,46.75324675,53.24675325,1.54,220
Buenos Aires,-34.6036844,-58.3815591,,Argentina,11.7,54.26470588,54.84375,45.15625,1.17,163
Rancagua,-34.1701324,-70.7406259,O'Higgins Region,Chile,25.7,0,100,0,2.57,200
Stellenbosch,-33.9321045,18.860152,Western Cape,South Africa,18,75,58.33333333,41.66666667,1.8,89
Cape Town,-33.9248685,18.4240553,Western Cape,South Africa,13.4,68.61111111,50.42613636,49.57386364,1.34,134
Sydney,-33.8688197,151.2092955,,Australia,61.7,75.88996764,28.54785479,71.45214521,6.17,320
Santiago,-33.4488897,-70.6692655,Santiago Metropolitan Region,Chile,10.3,17.71523179,40.23972603,59.76027397,1.03,0
Concon,-32.9299468,-71.5186065,Valparaiso Region,Chile,46.3,37.5,50,50,4.63,340
Perth,-31.9523123,115.861309,Western Australia,Australia,82.3,82.98755187,28.0720339,71.9279661,8.23,70
Porto Alegre,-30.0368176,-51.2089887,Rio Grande do Sul,Brazil,35.8,54.66101695,59.25925926,40.74074074,3.58,198
La Serena,-29.9026691,-71.2519374,Coquimbo Region,Chile,56.6,50,62.5,37.5,5.66,290
Durban,-29.8586804,31.0218404,KwaZulu-Natal,South Africa,34.7,57.72058824,60.22727273,39.77272727,3.47,357
Maseru,-29.3150767,27.4869229,Maseru District,Lesotho,17.1,45.83333333,80,20,1.71,204
Bloemfontein,-29.085214,26.1595761,Free State,South Africa,20.6,45.83333333,62.5,37.5,2.06,210
Huasco,-28.4664,-71.2192,Atacama Region,Chile,44,87.5,50,50,4.4,235
Marburg,-27.5662078,152.596433,Hesse,Germany,36,85,0,100,3.6,320
Brisbane,-27.4704528,153.0260341,Queensland,Australia,0,83.06878307,30.46448087,69.53551913,0,0
Copiapo,-27.3665763,-70.3321587,Atacama Region,Chile,30.6,12.5,50,50,3.06,255
Mbabane,-26.3054482,31.1366715,Hhohho District,Eswatini,13.2,93.75,31.25,68.75,1.32,295
Johannesburg,-26.2041028,28.0473051,Gauteng,South Africa,5.1,42.75956284,57.36111111,42.63888889,0.51,220
Maputo,-25.969248,32.5731746,,Mozambique,25.7,57.69230769,68.75,31.25,2.57,110
Pretoria,-25.7478676,28.2292712,Gauteng,South Africa,15.4,50.32894737,57.74647887,42.25352113,1.54,130
Curitiba,-25.4372382,-49.2699727,Parana,Brazil,41.2,73.10126582,48.91304348,51.08695652,4.12,330
Asuncion,-25.2637399,-57.575926,Capital District,Paraguay,41.2,39.65517241,67,33,4.12,180
Salta,-24.7821269,-65.4231976,Salta Province,Argentina,61.7,60,50,50,6.17,70
Gaborone,-24.6282079,25.9231471,South-East District,Botswana,10.3,67.10526316,37.5,62.5,1.03,110
Alice Springs,-23.698042,133.8807471,Northern Territory,Australia,20.6,65.625,28.125,71.875,2.06,170
Antofagasta,-23.6509279,-70.3975022,Antofagasta Region,Chile,35.2,31.25,81.25,18.75,3.52,218
Sao Paulo,-23.5557714,-46.6395571,Sao Paulo,Brazil,46.3,24.05660377,73.71794872,26.28205128,4.63,330
Osasco,-23.5326334,-46.7915243,Sao Paulo,Brazil,46.3,35,66.66666667,33.33333333,4.63,330
Rio de Janeiro,-22.9068467,-43.1728965,Rio de Janeiro,Brazil,20.6,46.81208054,77.24137931,22.75862069,2.06,100
Windhoek,-22.5608807,17.0657549,Khomas Region,Namibia,25.7,72.82608696,54.34782609,45.65217391,2.57,100
Calama,-22.4543923,-68.9293819,Antofagasta Region,Chile,82.3,20,75,25,8.23,290
Iquique,-20.2307033,-70.1356692,Tarapaca Region,Chile,36,40,50,50,3.6,215
Port Louis,-20.1608912,57.5012222,Port Louis District,Mauritius,51.5,50,55.95238095,44.04761905,5.15,120
Antananarivo,-18.8791902,47.5079055,,Madagascar,56.6,15.90909091,82.35294118,17.64705882,5.66,140
Arica,-18.4782534,-70.3125988,Arica y Parinacota Region,Chile,61.7,75,50,50,6.17,200
Suva,-18.1405049,178.4232507,Central Division,Fiji,43.5,57.5,58.75,41.25,4.35,127
Nausori,-18.0305343,178.5338895,Central Division,Fiji,34.4,0,100,0,3.44,132
Harare,-17.8216288,31.0492259,,Zimbabwe,49.9,38.46153846,87.5,12.5,4.99,153
Port Vila,-17.7332512,168.3273245,Shefa,Vanuatu,15.4,75,70,30,1.54,90
El Alto,-16.4899474,-68.2081896,La Paz Department,Bolivia,72,50,100,0,7.2,280
La Paz,-16.489689,-68.1192936,La Paz Department,Bolivia,72,27.94117647,79.54545455,20.45454545,7.2,280
Brasilia,-15.7975154,-47.8918874,Federal District,Brazil,41.2,76.53061224,38.04347826,61.95652174,4.12,60
Lusaka,-15.3875259,28.3228165,Lusaka Province,Zambia,17.8,33.33333333,98.07692308,1.923076923,1.78,81
Lilongwe,-13.9626121,33.7741195,Central Region,Malawi,31.7,45,95,5,3.17,166
Apia,-13.8506958,-171.7513551,,Samoa,27.2,70.83333333,40,60,2.72,57
Darwin,-12.4637333,130.8444446,Northern Territory,Australia,10.3,84.65909091,26.92307692,73.07692308,1.03,80
Lima,-12.0463731,-77.042754,Lima region,Peru,25.7,19.75,76.04166667,23.95833333,2.57,250
Honiara,-9.4456381,159.9728999,,Solomon Islands,29.6,39.0625,84.72222222,15.27777778,2.96,130
Port Moresby,-9.4438004,147.1802671,,Papua New Guinea,15.4,32.29166667,76.92307692,23.07692308,1.54,0
Luanda,-8.8146556,13.2301756,Luanda Province,Angola,30.9,15,81.25,18.75,3.09,210
Denpasar,-8.6704582,115.2126293,Bali,Indonesia,15.4,33.69565217,60.22727273,39.77272727,1.54,70
Olinda,-7.9920228,-34.8422297,Pernambuco,Brazil,46.3,50,75,25,4.63,170
Malang,-7.9666204,112.6326321,East Java,Indonesia,5,77.17391304,34.7826087,65.2173913,0.5,66
Kediri,-7.8480156,112.0178286,East Java,Indonesia,16.6,75,0,100,1.66,196
Yogyakarta City,-7.7955798,110.3694896,Special Region of Yogyakarta,Indonesia,9.2,45.65217391,57.29166667,42.70833333,0.92,36
Madiun,-7.6310587,111.5300159,East Java,Indonesia,14.5,100,6.25,93.75,1.45,171
Magelang,-7.4797342,110.2176941,Central Java,Indonesia,4.7,100,0,100,0.47,65
Mojokerto,-7.4704747,112.4401329,East Java,Indonesia,13.7,100,0,100,1.37,188
Salatiga,-7.3305234,110.5084366,Central Java,Indonesia,12.8,83.33333333,37.5,62.5,1.28,201
Surabaya,-7.2574719,112.7520883,East Java,Indonesia,20.6,49.43181818,57.77777778,42.22222222,2.06,260
Semarang,-7.0051453,110.4381254,Central Java,Indonesia,20.6,55.55555556,47.5,52.5,2.06,100
Bandung,-6.9174639,107.6191228,West Java,Indonesia,12.4,40.38461538,61.70212766,38.29787234,1.24,142
Cimahi,-6.8840816,107.5413039,West Java,Indonesia,13.3,58.33333333,33.33333333,66.66666667,1.33,133
Dar es Salaam,-6.792354,39.2083284,Dar es Salaam Region,Tanzania,27.4,46.875,76,24,2.74,198
Bogor,-6.5517758,106.6291304,West Java,Indonesia,5.8,67.30769231,52.08333333,47.91666667,0.58,106
Depok,-6.4024844,106.7942405,West Java,Indonesia,7.2,8.333333333,91.66666667,8.333333333,0.72,163
Jakarta,-6.2087634,106.845599,,Indonesia,6,22.265625,77.1,22.9,0.6,158
Tangerang,-6.1701796,106.6403236,Banten,Indonesia,15.4,45.45454545,52.27272727,47.72727273,1.54,200
Dodoma,-6.162959,35.7516069,Dodoma Region,Tanzania,32.5,50,50,50,3.25,90
Cilegon,-6.0186516,106.0558218,Banten,Indonesia,9.1,50,50,50,0.91,293
Bandar Lampung,-5.4478789,105.2652871,Lampung,Indonesia,9.1,62.5,40,60,0.91,265
Makassar,-5.1476651,119.4327314,South Sulawesi,Indonesia,15.4,50,45,55,1.54,110
Brazzaville,-4.2633597,15.2428853,,Republic of the Congo,9.8,37.5,62.5,37.5,0.98,216
